Genus	State	Proportion	Replicate
Cacomantis	AA	0	9
Cacomantis	AP	0	9
Cacomantis	II	0.09	9
Cacomantis	NS	0	9
Cacomantis	S	0.91	9
Cacomantis	SS	0	9
Cercococcyx	AA	0	9
Cercococcyx	AP	0	9
Cercococcyx	II	0	9
Cercococcyx	NS	0	9
Cercococcyx	S	1	9
Cercococcyx	SS	0	9
Chalcites	AA	0.01	9
Chalcites	AP	0	9
Chalcites	II	0.08	9
Chalcites	NS	0	9
Chalcites	S	0.89	9
Chalcites	SS	0.02	9
Chrysococcyx	AA	0.02	9
Chrysococcyx	AP	0.01	9
Chrysococcyx	II	0.13	9
Chrysococcyx	NS	0.02	9
Chrysococcyx	S	0.81	9
Chrysococcyx	SS	0.01	9
Clamator	AA	0.07	9
Clamator	AP	0.35	9
Clamator	II	0.18	9
Clamator	NS	0.04	9
Clamator	S	0.35	9
Clamator	SS	0.01	9
Coccycua	AA	0.01	9
Coccycua	AP	0.02	9
Coccycua	II	0	9
Coccycua	NS	0	9
Coccycua	S	0.94	9
Coccycua	SS	0.03	9
Coccyzus	AA	0.01	9
Coccyzus	AP	0	9
Coccyzus	II	0	9
Coccyzus	NS	0.04	9
Coccyzus	S	0.39	9
Coccyzus	SS	0.56	9
Cuculus	AA	0.41	9
Cuculus	AP	0.04	9
Cuculus	II	0.02	9
Cuculus	NS	0.01	9
Cuculus	S	0.49	9
Cuculus	SS	0.03	9
Eudynamys	AA	0	9
Eudynamys	AP	0	9
Eudynamys	II	0.95	9
Eudynamys	NS	0	9
Eudynamys	S	0.05	9
Eudynamys	SS	0	9
Hierococcyx	AA	0.01	9
Hierococcyx	AP	0	9
Hierococcyx	II	0.02	9
Hierococcyx	NS	0	9
Hierococcyx	S	0.97	9
Hierococcyx	SS	0	9
Phaenicophaeus	AA	0	9
Phaenicophaeus	AP	0	9
Phaenicophaeus	II	0	9
Phaenicophaeus	NS	0	9
Phaenicophaeus	S	1	9
Phaenicophaeus	SS	0	9
Piaya	AA	0	9
Piaya	AP	0	9
Piaya	II	0	9
Piaya	NS	0	9
Piaya	S	1	9
Piaya	SS	0	9
Surniculus	AA	0.01	9
Surniculus	AP	0.01	9
Surniculus	II	0.09	9
Surniculus	NS	0	9
Surniculus	S	0.89	9
Surniculus	SS	0	9
Cacomantis	AA	0	10
Cacomantis	AP	0	10
Cacomantis	II	0.09	10
Cacomantis	NS	0	10
Cacomantis	S	0.91	10
Cacomantis	SS	0	10
Cercococcyx	AA	0	10
Cercococcyx	AP	0	10
Cercococcyx	II	0	10
Cercococcyx	NS	0	10
Cercococcyx	S	1	10
Cercococcyx	SS	0	10
Chalcites	AA	0.01	10
Chalcites	AP	0	10
Chalcites	II	0.08	10
Chalcites	NS	0	10
Chalcites	S	0.89	10
Chalcites	SS	0.02	10
Chrysococcyx	AA	0.02	10
Chrysococcyx	AP	0.01	10
Chrysococcyx	II	0.13	10
Chrysococcyx	NS	0.02	10
Chrysococcyx	S	0.81	10
Chrysococcyx	SS	0.01	10
Clamator	AA	0.07	10
Clamator	AP	0.35	10
Clamator	II	0.18	10
Clamator	NS	0.04	10
Clamator	S	0.35	10
Clamator	SS	0.01	10
Coccycua	AA	0.01	10
Coccycua	AP	0.02	10
Coccycua	II	0	10
Coccycua	NS	0	10
Coccycua	S	0.94	10
Coccycua	SS	0.03	10
Coccyzus	AA	0.01	10
Coccyzus	AP	0	10
Coccyzus	II	0	10
Coccyzus	NS	0.04	10
Coccyzus	S	0.39	10
Coccyzus	SS	0.56	10
Cuculus	AA	0.41	10
Cuculus	AP	0.04	10
Cuculus	II	0.02	10
Cuculus	NS	0.01	10
Cuculus	S	0.49	10
Cuculus	SS	0.03	10
Eudynamys	AA	0	10
Eudynamys	AP	0	10
Eudynamys	II	0.95	10
Eudynamys	NS	0	10
Eudynamys	S	0.05	10
Eudynamys	SS	0	10
Hierococcyx	AA	0.01	10
Hierococcyx	AP	0	10
Hierococcyx	II	0.02	10
Hierococcyx	NS	0	10
Hierococcyx	S	0.97	10
Hierococcyx	SS	0	10
Phaenicophaeus	AA	0	10
Phaenicophaeus	AP	0	10
Phaenicophaeus	II	0	10
Phaenicophaeus	NS	0	10
Phaenicophaeus	S	1	10
Phaenicophaeus	SS	0	10
Piaya	AA	0	10
Piaya	AP	0	10
Piaya	II	0	10
Piaya	NS	0	10
